Tld,Currency,Register,Transfer,Renew,Restore,Trustee,Backorder
services,USD,10.99,37.49,37.49,129.9,-,-
auction,USD,3.99,34.99,34.99,124.9,-,-
careers,USD,46.88,68.74,68.74,169.9,-,-
company,USD,6.51,19.99,19.99,99.9,-,-
enterprises,USD,9.99,33.75,33.75,129.9,-,-
foundation,USD,26.88,26.89,26.89,134.9,-,-
institute,USD,9.09,26.24,26.24,114.9,-,-
limited,USD,9.99,34.99,34.99,124.9,-,-
mortgage,USD,9.99,59.99,59.99,159.9,-,-
solutions,USD,11.51,29.99,29.99,119.9,-,-
ventures,USD,15,57.49,57.49,154.9,-,-
cash,USD,14.02,37.49,37.49,124.9,-,-
consulting,USD,26.49,52.49,52.49,139.9,-,-
exchange,USD,9.99,37.49,37.49,129.9,-,-
fund,USD,12.52,68.74,68.74,164.9,-,-
insure,USD,12.5,69.99,69.99,159.9,-,-
ltda,USD,45.9,45.9,45.9,134.9,-,-
partners,USD,15.64,68.74,68.74,169.9,-,-
tax,USD,9.99,64.99,64.99,169.9,-,-
versicherung,USD,191.62,191.62,191.62,718.99,-,-
ceo,USD,109.9,109.9,109.9,254.9,-,-
credit,USD,7.52,99.99,99.99,229.9,-,-
finance,USD,12.52,62.49,62.49,159.9,-,-
holdings,USD,55.99,56.27,56.27,169.9,-,-
international,USD,9.99,29.99,29.99,119.9,-,-
sarl,USD,33,33,33,124.9,-,-
world,USD,4.49,39.99,39.99,129.9,-,-
dating,USD,18.75,62.49,62.49,164.9,-,-
sexy,USD,3125,3125,3125,5059.9,-,-
singles,USD,8.13,32.49,32.49,124.9,-,-
center,USD,7.52,31.24,31.24,114.9,-,-
events,USD,13.99,43.74,43.74,129.9,-,-
vote,USD,34.99,95.01,95.01,199.9,-,-
gallery,USD,23.99,23.77,23.77,119.9,-,-
voting,USD,1443.75,1443.75,1443.75,1460.56,-,-
community,USD,29.99,43.74,43.74,129.9,-,-
democrat,USD,6.99,31.24,31.24,124.9,-,-
support,USD,8.51,26.24,26.24,114.9,-,-
academy,USD,17.14,44.99,44.99,129.9,-,-
shiksha,USD,12.5,49.99,49.99,104.9,-,-
degree,USD,9.99,49.99,49.99,144.9,-,-
training,USD,18.49,39.99,39.99,129.9,-,-
education,USD,29.99,35.01,35.01,124.9,-,-
schule,USD,15.49,27.49,27.49,109.9,-,-
university,USD,15.99,59.99,59.99,159.9,-,-
fi,USD,59,-,59,72.09,-,-
com.ec,USD,96.25,96.14,96.25,208,-,-
fm,USD,110.5,106.24,106.24,239.9,-,-
pm,USD,14.05,14.05,14.05,52.83,9,-
com.es,USD,9.99,-,10.18,47.17,-,-
gd,USD,34.9,34.9,34.9,139.9,-,-
gg,USD,84.25,77.9,84.25,179.14,-,-
hk,USD,56.26,-,56.26,163.64,-,-
com.hk,USD,25.52,25.49,25.52,163.76,-,-
hn,USD,93.75,93.75,93.75,199.55,-,-
gl,USD,36.78,36.78,36.78,109.9,-,-
ht,USD,118.75,127.9,118.75,135.2,-,-
com.ht,USD,37.5,37.5,37.5,65,-,-
gr,USD,-,49.9,49.9,90.22,-,-
com.gl,USD,66.91,66.91,66.91,186.34,-,-
com.gr,USD,-,49.9,-,169.9,-,-
gs,USD,30.79,41.99,30.79,59.8,-,-
com.gy,USD,48.13,48.07,48.13,97.5,-,-
ind.in,USD,8.15,8.15,8.15,64.9,-,-
is,USD,76.47,-,76.47,195.87,-,-
me,USD,5.54,22.99,22.99,119.9,-,-
mg,USD,183.81,167.1,183.81,222.3,-,-
com.mg,USD,183.81,167.1,183.81,579.9,-,-
mn,USD,43.75,43.75,43.75,219.9,-,-
ms,USD,85.8,71.9,85.8,118.3,-,-
com.ms,USD,84.9,84.9,84.9,155.3,-,-
mu,USD,93.75,93.75,93.75,223.44,-,-
com.mu,USD,93.75,93.75,93.75,223.44,-,-
mx,USD,39.99,56.78,56.78,144.9,-,-
com.mx,USD,29.99,43.29,43.29,63.99,-,-
my,USD,2.99,39.9,39.9,116.9,19.9,-
com.my,USD,36.25,36.25,36.25,86.9,19.9,-
nf,USD,189.99,199,199,208,-,-
nl,USD,11.99,11.99,11.99,188.69,-,-
no,USD,15.39,-,15.39,52.41,49,-
nu,USD,25.49,-,25.49,51.65,-,-
co.nz,USD,46.99,-,46.99,71.58,-,-
pe,USD,75.79,101.96,75.79,175.5,-,-
com.pe,USD,75.63,75.54,75.63,175.5,-,-
ph,USD,99.99,99.99,99.99,113.75,-,-
com.ph,USD,151.25,151.07,151.25,175.5,-,-
pl,USD,24.03,-,24.03,51.82,-,-
com.pl,USD,18.58,-,18.58,44.76,-,-
biz.pl,USD,18.58,-,18.58,44.76,-,-
com.pt,USD,59,-,59,69.83,-,-
pw,USD,21.99,29,29,109.9,-,-
re,USD,21.44,21.44,21.44,52.83,-,-
com.ro,USD,34.99,-,34.99,99.9,-,-
com.ru,USD,39.9,39.9,49.9,79.9,1,-
net.ru,USD,25.9,25.9,25.9,79.9,-,-
org.ru,USD,39.9,39.9,49.9,79.9,-,-
com.sb,USD,69.8,63.46,69.8,90.54,-,-
sc,USD,115.9,115.9,115.9,319.9,-,-
com.sc,USD,115.9,115.9,115.9,319.9,-,-
se,USD,29.99,-,29.99,51.65,-,-
sg,USD,49.84,49.78,49.84,112.13,35,-
com.sg,USD,54.89,54.25,54.89,116.35,-,-
so,USD,84.38,-,84.38,270.4,-,-
com.so,USD,92.81,-,92.81,282.75,-,-
sx,USD,37.5,37.5,37.5,170,-,-
tf,USD,17.14,17.14,17.14,52.83,3,-
tk,USD,7.97,7.06,7.97,47.17,-,-
tl,USD,94,94,94,86.1,-,-
tm,USD,519,519,519,1.04,-,-
to,USD,125,125,125,-,-,-
la,USD,38.75,38.73,38.75,69.16,-,-
farm,USD,11.99,37.49,37.49,129.9,-,-
pizza,USD,12.52,62.49,62.49,164.9,-,-
restaurant,USD,18.99,62.49,62.49,159.9,-,-
fish,USD,12.5,42.49,42.49,134.9,-,-
pub,USD,34.99,34.99,34.99,134.9,-,-
coffee,USD,17.99,41.24,41.24,129.9,-,-
kitchen,USD,12.5,62.49,62.49,159.9,-,-
recipes,USD,11.74,74.99,74.99,164.9,-,-
vodka,USD,32.49,32.49,32.49,134.9,-,-
capetown,USD,43.08,41.33,43.08,140.98,-,-
global,USD,36.99,93.74,93.74,194.9,-,-
london,USD,41.81,41.81,41.81,149.9,-,-
paris,USD,61.96,61.96,61.96,173.96,-,-
vlaanderen,USD,38.93,38.93,38.93,175.04,-,-
bayern,USD,35.95,35.95,35.95,144.9,9.99,-
city,USD,6.49,27.49,27.49,114.9,-,-
